"","incidentid","date","statuslabel","status2","state","latitude","longitude","agencytypelabel","agencytype2","sources"
"778",508097,2016-02-20,"Nonfatal",2,"New York",40.6887,-73.9421,"Local",1,"http://www.nydailynews.com/new-york/nyc-crime/nypd-officers-shot-brooklyn-stable-condition-article-1.2538317?cid=bitly&utm_content=bufferc0c0e&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer,http://abc7ny.com/news/nypd-2-officers-another-man-shot-in-brooklyn/1208714/,http://www.nydailynews.com/new-york/nyc-crime/nypd-officers-shot-brooklyn-stable-condition-article-1.2538317,http://nypost.com/2016/03/24/radical-islamist-charged-with-shooting-two-nypd-cops/"
"779",508113,2016-02-20,"Nonfatal",2,"Mississippi",34.7543,-88.1406,"State",3,"http://www.msnewsnow.com/story/31268746/law-enforcement-at-standoff-in-tishomingo-county,http://www.times-standard.com/general-news/20160220/1-officer-dead-3-wounded-in-mississippi-shooting,http://www.msnewsnow.com/story/31271084/ms-bureau-of-investigation-releases-statement-on-deadly-tishomingo-co-standoff?clienttype=generic, https://www.nbcnews.com/news/us-news/two-dead-three-wounded-after-standoff-mississippi-home-n522381"
"780",508113,2016-02-20,"Nonfatal",2,"Mississippi",34.7543,-88.1406,"State",3,"http://www.msnewsnow.com/story/31268746/law-enforcement-at-standoff-in-tishomingo-county,http://www.times-standard.com/general-news/20160220/1-officer-dead-3-wounded-in-mississippi-shooting,http://www.msnewsnow.com/story/31271084/ms-bureau-of-investigation-releases-statement-on-deadly-tishomingo-co-standoff?clienttype=generic, https://www.nbcnews.com/news/us-news/two-dead-three-wounded-after-standoff-mississippi-home-n522381"
"781",508113,2016-02-20,"Nonfatal",2,"Mississippi",34.7543,-88.1406,"State",3,"http://www.msnewsnow.com/story/31268746/law-enforcement-at-standoff-in-tishomingo-county,http://www.times-standard.com/general-news/20160220/1-officer-dead-3-wounded-in-mississippi-shooting,http://www.msnewsnow.com/story/31271084/ms-bureau-of-investigation-releases-statement-on-deadly-tishomingo-co-standoff?clienttype=generic, https://www.nbcnews.com/news/us-news/two-dead-three-wounded-after-standoff-mississippi-home-n522381"
"782",508113,2016-02-20,"Fatal",1,"Mississippi",34.7543,-88.1406,"State",3,"http://www.msnewsnow.com/story/31268746/law-enforcement-at-standoff-in-tishomingo-county,http://www.times-standard.com/general-news/20160220/1-officer-dead-3-wounded-in-mississippi-shooting,http://www.msnewsnow.com/story/31271084/ms-bureau-of-investigation-releases-statement-on-deadly-tishomingo-co-standoff?clienttype=generic"
"783",509463,2016-02-22,"Nonfatal",2,"Colorado",39.7658,-105.035,"Local",1,"http://www.denverpost.com/news/ci_29547610/denver-police-investigate-officer-involved-shooting-at-35th,http://kdvr.com/2016/02/22/police-officer-shot-in-north-denver-injuries-do-not-appear-to-be-life-threatening/,http://www.thedenverchannel.com/news/local-news/report-dpd-officer-down-at-19th-lowell,http://denver.cbslocal.com/2016/02/23/police-officer-injured-in-shooting-identified/,http://www.denverpost.com/2016/02/22/denver-suspect-dead-police-officer-wounded-in-shootout-and-chase/,http://www.9news.com/news/local/timeline-emerges-of-shooting-that-wounded-officer-killed-suspect/52950398"
"784",510319,2016-02-16,"Nonfatal",2,"New Mexico",32.1661,-103.426,"Sheriff",2,"http://www.abqjournal.com/725696/news/state-police-investigating-fatal-officer-involved-shooting-near-jal.html,http://www.dps.state.nm.us/index.php/officer-involved-shooting-investigation/"
"785",510749,2016-02-24,"Nonfatal",2,"Colorado",39.4462,-105.475,"Sheriff",2,"http://www.9news.com/news/crime/3-deputies-shot-1-killed-in-bailey/54667695,http://www.odmp.org/officer/22786-corporal-nate-carrigan"
"786",510749,2016-02-24,"Nonfatal",2,"Colorado",39.4462,-105.475,"Sheriff",2,"http://www.9news.com/news/crime/3-deputies-shot-1-killed-in-bailey/54667695,http://www.odmp.org/officer/22786-corporal-nate-carrigan"
"787",510749,2016-02-24,"Fatal",1,"Colorado",39.4462,-105.475,"Local",1,"http://www.9news.com/news/crime/3-deputies-shot-1-killed-in-bailey/54667695,http://www.odmp.org/officer/22786-corporal-nate-carrigan"
"788",511015,2016-02-24,"Nonfatal",2,"Missouri",39.0533,-94.4577,"Local",1,"http://www.kmbc.com/news/police-officer-injured-in-shooting-at-independence-motel/38177876,http://www.kansascity.com/news/local/crime/article62524527.html"
"789",511945,2016-02-27,"Nonfatal",2,"South Carolina",32.9691,-80.0111,"Sheriff",2,"https://www.facebook.com/BerkCoSheriff/posts/1030711210338712?fref=nf,http://www.wyff4.com/news/sc-deputy-shot-while-on-duty/38205704,http://www.wbtv.com/story/31322517/suspect-in-berkeley-co-deputy-shooting-identified-deputy-recovering,http://www.postandcourier.com/article/20160304/PC16/160309690/1006&amp;source=RSS"
"790",512239,2016-02-25,"Nonfatal",2,"Nevada",39.4162,-119.225,"Sheriff",2,"http://www.ktvn.com/story/31322487/two-hospitalized-after-officer-involved-shooting-in-silver-springs,http://www.rgj.com/story/news/crime/2016/02/26/deputy-shot-2-suspects-hurt-silver-springs-shooting/80985964/,http://www.nevadaappeal.com/news/local/20835969-113/update-lyon-county-deputy-shot-after-alleged-carjacking?utm_source=swift_rss&utm_medium=rss&utm_campaign=rss-referrals&utm_section=Local,http://www.ktvn.com/story/31656910/arrests-made-in-home-invasion-on-foster-drive,http://mynews4.com/news/local/deputy-involved-shooting-in-silver-springs"
"791",512880,2016-02-27,"Nonfatal",2,"Virginia",38.6696,-77.3536,"Local",1,"http://www.nbcwashington.com/news/local/Prince-William-Police-Investigation-Shooting-370388531.html,http://www.nbcwashington.com/news/local/Prince-William-Police-Investigation-Shooting-370388531.html,http://www.mnpoliceclips.com/audio-dale-city-va-domestic-shooting-leaving-multiple-officers-hit-22716.html,http://www.odmp.org/officer/22788-officer-ashley-marie-guindon,https://www.stripes.com/news/us/soldier-convicted-of-capital-murder-in-killings-of-wife-rookie-police-officer-1.549287"
"792",512880,2016-02-27,"Nonfatal",2,"Virginia",38.6696,-77.3536,"Local",1,"http://www.nbcwashington.com/news/local/Prince-William-Police-Investigation-Shooting-370388531.html,http://www.nbcwashington.com/news/local/Prince-William-Police-Investigation-Shooting-370388531.html,http://www.mnpoliceclips.com/audio-dale-city-va-domestic-shooting-leaving-multiple-officers-hit-22716.html,http://www.odmp.org/officer/22788-officer-ashley-marie-guindon,https://www.stripes.com/news/us/soldier-convicted-of-capital-murder-in-killings-of-wife-rookie-police-officer-1.549287"
"793",512880,2016-02-27,"Fatal",1,"Virginia",38.6696,-77.3536,"Local",1,"http://www.nbcwashington.com/news/local/Prince-William-Police-Investigation-Shooting-370388531.html,http://www.nbcwashington.com/news/local/Prince-William-Police-Investigation-Shooting-370388531.html,http://www.mnpoliceclips.com/audio-dale-city-va-domestic-shooting-leaving-multiple-officers-hit-22716.html,http://www.odmp.org/officer/22788-officer-ashley-marie-guindon,https://www.stripes.com/news/us/soldier-convicted-of-capital-murder-in-killings-of-wife-rookie-police-officer-1.549287"
"794",514569,2016-03-01,"Fatal",1,"Texas",32.8304,-97.0911,"Local",1,"http://www.star-telegram.com/news/local/community/northeast-tarrant/article63396122.html,http://dfw.cbslocal.com/2016/03/01/officer-and-suspect-shot-in-euless-park/,http://www.star-telegram.com/news/local/community/northeast-tarrant/article63564422.html,http://www.star-telegram.com/news/local/community/hurst-euless-bedford_news/article63819582.html,http://www.wfaa.com/news/crime/filings-depict-chaotic-gun-battle-that-led-to-euless-officers-death/86035002,http://www.star-telegram.com/news/local/community/northeast-tarrant/article73332842.html,http://www.wfaa.com/news/crime/man-who-killed-euless-officer-had-meth-coke-and-other-drugs-in-system/201363721,http://www.star-telegram.com/news/local/community/northeast-tarrant/article78075227.html,http://www.star-telegram.com/news/local/community/northeast-tarrant/article98602192.html"
"795",519251,2016-03-09,"Nonfatal",2,"Florida",30.1926,-81.7107,"Sheriff",2,"http://www.news4jax.com/news/sources-jso-officer-shot-flown-to-hospital-in-unknown-condition,http://www.firstcoastnews.com/news/crime/detective-wounded-in-shootout-critical-but-stable/74977729"
"796",519410,2016-03-09,"Nonfatal",2,"Mississippi",32.3652,-90.1535,"Local",1,"http://www.wdsu.com/news/local-news/new-orleans/jackson-police-officer-shot-authorities-search-for-shooter/38418848,http://www.msnewsnow.com/story/31431044/jpd-officer-grazed-by-a-bullet,http://www.times-standard.com/general-news/20160311/suspect-in-shooting-that-injured-police-officer-surrenders"
"797",520044,2016-03-10,"Nonfatal",2,"Kentucky",36.7146,-86.5746,"Sheriff",2,"http://www.wsmv.com/story/31440596/deputy-shot-in-franklin-ky-suspect-in-custody,http://www.lex18.com/story/31440843/deputy-shot-in-simpson-county,http://wkrn.com/2016/03/10/deputy-shot-in-kentucky-brought-to-nashville-hospital/"
"798",521130,2016-03-12,"Nonfatal",2,"Pennsylvania",39.8477,-75.3681,"Local",1,"http://6abc.com/news/police-officer-shot-suspect-killed-in-chester-shootout-/1243259/,http://www.fox29.com/news/local-news/106191003-story,http://www.philly.com/philly/news/20160313_Police_officer_wounded__suspect_killed__in_Chester_gunbattle.html,http://www.pennlive.com/news/2016/03/police_officer_shot_in_fatal_g.html,http://www.philly.com/philly/news/20160314_Chester_police_officer_in_critical_condition_after_shooting.html,http://www.philly.com/philly/news/20160316_Chester_police-shooting_victim_id_d__tensions_persist.html"
"799",521827,2016-03-14,"Nonfatal",2,"South Carolina",34.7302,-82.0385,"Local",1,"http://wlos.com/news/local/developing-upstate-police-officer-shot-early-monday-morning,http://www.live5news.com/story/31460723/woodruff-police-officer-shot"
"800",522516,2016-03-14,"Nonfatal",2,"Illinois",41.871,-87.7181,"Local",1,"http://www.chicagotribune.com/news/local/breaking/ct-officers-shot-on-west-side-20160314-story.html,http://chicago.suntimes.com/news/quick-treatment-helps-three-cops-shot-during-drug-investigation-on-west-side/,http://chicago.suntimes.com/news/chicago-police-shooting-gun/,https://www.chicagotribune.com/news/local/breaking/ct-officers-shot-on-west-side-20160314-story.html"
"801",522516,2016-03-14,"Nonfatal",2,"Illinois",41.871,-87.7181,"Local",1,"http://www.chicagotribune.com/news/local/breaking/ct-officers-shot-on-west-side-20160314-story.html,http://chicago.suntimes.com/news/quick-treatment-helps-three-cops-shot-during-drug-investigation-on-west-side/,http://chicago.suntimes.com/news/chicago-police-shooting-gun/,https://www.chicagotribune.com/news/local/breaking/ct-officers-shot-on-west-side-20160314-story.html"
"802",522516,2016-03-14,"Nonfatal",2,"Illinois",41.871,-87.7181,"Local",1,"http://www.chicagotribune.com/news/local/breaking/ct-officers-shot-on-west-side-20160314-story.html,http://chicago.suntimes.com/news/quick-treatment-helps-three-cops-shot-during-drug-investigation-on-west-side/,http://chicago.suntimes.com/news/chicago-police-shooting-gun/,https://www.chicagotribune.com/news/local/breaking/ct-officers-shot-on-west-side-20160314-story.html, https://www.cnn.com/2016/03/14/us/chicago-police-officers-shot/index.html"
"803",522815,2016-03-15,"Nonfatal",2,"Texas",32.7309,-97.4957,"Local",1,"http://www.nbcdfw.com/news/local/Fort-Worth-Police-Officer-Shot-FWPD-372147782.html?_osource=SocialFlowTwt_DFWBrand,http://dfw.cbslocal.com/2016/03/15/deceased-suspect-idd-as-father-of-other-suspect/,http://www.wfaa.com/news/crime/report-fort-worth-officer-shot/83843287,http://dfw.cbslocal.com/2016/03/15/police-officer-shot-in-west-fort-worth-shooter-at-large/,http://www.star-telegram.com/news/local/community/fort-worth/article66378382.html,http://www.wfaa.com/news/crime/sheriff-says-shooting-suspect-had-long-criminal-history-family-apologizes/85940718,http://www.kiiitv.com/story/31492926/man-charged-in-fort-worth-shootout,http://www.wfaa.com/news/crime/cleared-once-man-will-again-face-charges-in-fort-worth-officers-shooting/237585570,http://www.star-telegram.com/news/local/community/fort-worth/article66192852.html,http://www.star-telegram.com/news/local/community/fort-worth/article131576769.html"
"804",523597,2016-03-15,"Nonfatal",2,"Arkansas",36.1251,-94.0865,"Sheriff",2,"http://katv.com/news/local/washington-county-deputy-shot-suspect-in-custody"
